group,multiplicity,mean_is_contribution_eV,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
C_L_alpha,4,-74.66854000000001,-0.7910649999999926,0.010267270815557126,-0.8015449999999902,-0.7797949999999929,4 5 42 43
C_alpha,4,-74.6716925,-0.7879124999999974,0.01148019245265603,-0.800815,-0.7741049999999916,20 21 26 27
C_M,4,-75.11111,-0.3484949999999998,0.017128203350032855,-0.3658750000000026,-0.32937499999999886,6 13 28 35
C_w,12,-75.45631916666666,-0.003285833333328251,0.12442165349182112,-0.2780949999999933,0.08388500000000931,7 8 9 10 11 12 36 37 38 39 40 41
C_b,12,-75.46289083333335,0.0032858333333353564,0.12132646382510587,-0.2631749999999897,0.1042850000000044,14 15 16 17 18 19 29 30 31 32 33 34
C_L_beta,4,-75.7256175,0.26601250000000576,0.001436216818587722,0.26430500000000734,0.2681350000000009,2 3 44 45
C_beta,4,-75.73499749999999,0.2753925000000059,0.0011132693968642117,0.27401500000000567,0.2770849999999996,22 23 24 25
N_L,2,-134.244505,-0.0026425000000074306,0.0004250000000070031,-0.0030675000000144337,-0.0022175000000004275,46 49
N,2,-134.24979000000002,0.0026424999999932197,0.00010999999999228294,0.0025325000000009368,0.0027524999999855027,47 48
