group,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
C_L_alpha,4,-0.7887799999999956,0.01018236803253919,-0.7992674999999991,-0.7775774999999925,4 5 42 43
C_alpha,4,-0.7857275000000001,0.011487795698041972,-0.7985074999999995,-0.7720575000000025,20 21 26 27
C_L_beta,4,0.2601350000000018,0.0014041612265004858,0.258442500000001,0.2620925000000085,2 3 44 45
C_beta,4,0.26969250000000144,0.0009821150645383078,0.26854250000000945,0.27119249999999795,22 23 24 25
C_M,4,-0.35200749999999204,0.016980702282297384,-0.36931749999999397,-0.3331774999999908,6 13 28 35
C_b,12,2.3684757858670005e-15,0.12095170462661006,-0.26535749999999325,0.10102249999999913,14 15 16 17 18 19 29 30 31 32 33 34
N_L,2,-0.002665000000021678,0.0004400000000117643,-0.003105000000033442,-0.0022250000000099135,46 49
N,2,0.0026649999999790452,0.0002800000000036107,0.0023849999999754345,0.002944999999982656,47 48
