structure,group,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV
Planar,N_L,2,-0.002665000000021678,0.0004400000000117643,-0.003105000000033442,-0.0022250000000099135
Planar,N,2,0.0026649999999790452,0.0002800000000036107,0.0023849999999754345,0.002944999999982656
PLDC-COOH,N_L,2,0.015092499999994402,0.08727000000000373,-0.07217750000000933,0.10236249999999814
PLDC-COOH,N,2,-0.015092499999994402,0.02183499999999583,-0.03692749999999023,0.006742500000001428
