group,element,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
C_L_alpha,C,4,-0.6339245833333287,0.02708793965956084,-0.6622395833333314,-0.6038795833333239,4 5 42 43
C_alpha,C,4,-0.6223470833333273,0.009981759301342338,-0.6357095833333233,-0.6116095833333333,20 21 26 27
C_M,C,4,-0.17698958333332726,0.011348169455908972,-0.19028958333332469,-0.1630595833333217,6 13 28 35
C_L_beta,C,4,0.3985354166666717,0.007697614890343729,0.3897404166666689,0.40974041666667915,2 3 44 45
C_beta,C,4,0.4229079166666736,0.0020052353353160047,0.42073041666667166,0.4251604166666709,22 23 24 25
C_b,C,12,7.958333333727789e-05,0.1281755088708664,-0.28401958333333255,0.0989504166666677,14 15 16 17 18 19 29 30 31 32 33 34
C_w,C,12,-7.958333332780398e-05,0.12884587233072972,-0.2789095833333306,0.10039041666667003,7 8 9 10 11 12 36 37 38 39 40 41
N_L,N,2,0.09345999999999322,0.0016300000000057935,0.09182999999998742,0.09508999999999901,74 77
N,N,2,-0.09345999999999322,0.0015199999999992997,-0.09497999999999251,-0.09193999999999392,75 76
