group,element,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
C_L_alpha,C,4,-1.2081695833333335,0.0020770231101289276,-1.2103945833333398,-1.2049545833333326,4 5 42 43
C_alpha,C,4,-0.6863820833333314,0.0017637938513314294,-0.6889145833333288,-0.6845545833333375,20 21 26 27
C_M,C,4,-0.26148958333333283,0.0026160705265754394,-0.2643845833333387,-0.25853458333332924,6 13 28 35
C_L_beta,C,4,-0.08150458333333077,0.00043081318456962434,-0.08222458333332838,-0.08110458333332815,2 3 44 45
C_beta,C,4,0.507435416666663,0.0016405182108145218,0.5058454166666593,0.509825416666672,22 23 24 25
C_b,C,12,0.000526249999997693,0.1253702121357863,-0.2598145833333376,0.14495541666666156,14 15 16 17 18 19 29 30 31 32 33 34
C_w,C,12,-0.0005262500000000614,0.12582696338181448,-0.26242458333332763,0.14394541666666782,7 8 9 10 11 12 36 37 38 39 40 41
N_L,N,2,-0.4944924999999927,0.0019500000000078899,-0.49644250000000056,-0.4925424999999848,46 49
N,N,2,0.4944925000000069,0.0004849999999976262,0.49400750000000926,0.4949775000000045,47 48
