project,group,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV
cross,C_L_alpha,4,-0.6339245833333287,0.02708793965956084,-0.6622395833333314,-0.6038795833333239
cross,C_alpha,4,-0.6223470833333273,0.009981759301342338,-0.6357095833333233,-0.6116095833333333
cross,C_M,4,-0.17698958333332726,0.011348169455908972,-0.19028958333332469,-0.1630595833333217
cross,C_L_beta,4,0.3985354166666717,0.007697614890343729,0.3897404166666689,0.40974041666667915
cross,C_beta,4,0.4229079166666736,0.0020052353353160047,0.42073041666667166,0.4251604166666709
cross,C_b,12,7.958333333727789e-05,0.1281755088708664,-0.28401958333333255,0.0989504166666677
cross,C_w,12,-7.958333332780398e-05,0.12884587233072972,-0.2789095833333306,0.10039041666667003
cross,N_L,2,0.09345999999999322,0.0016300000000057935,0.09182999999998742,0.09508999999999901
cross,N,2,-0.09345999999999322,0.0015199999999992997,-0.09497999999999251,-0.09193999999999392
twistedH2,C_L_alpha,4,-1.2081695833333335,0.0020770231101289276,-1.2103945833333398,-1.2049545833333326
twistedH2,C_alpha,4,-0.6863820833333314,0.0017637938513314294,-0.6889145833333288,-0.6845545833333375
twistedH2,C_M,4,-0.26148958333333283,0.0026160705265754394,-0.2643845833333387,-0.25853458333332924
twistedH2,C_L_beta,4,-0.08150458333333077,0.00043081318456962434,-0.08222458333332838,-0.08110458333332815
twistedH2,C_beta,4,0.507435416666663,0.0016405182108145218,0.5058454166666593,0.509825416666672
twistedH2,C_b,12,0.000526249999997693,0.1253702121357863,-0.2598145833333376,0.14495541666666156
twistedH2,C_w,12,-0.0005262500000000614,0.12582696338181448,-0.26242458333332763,0.14394541666666782
twistedH2,N_L,2,-0.4944924999999927,0.0019500000000078899,-0.49644250000000056,-0.4925424999999848
twistedH2,N,2,0.4944925000000069,0.0004849999999976262,0.49400750000000926,0.4949775000000045
twistedO2,C_L_alpha,4,-0.9384237500000019,0.033920156526023176,-0.9770862499999993,-0.893696250000005
twistedO2,C_alpha,4,-0.6695187500000017,0.14823126093625147,-0.8216662500000069,-0.5200962499999946
twistedO2,C_M,4,-0.2376812500000014,0.07216849918766605,-0.31494625000000553,-0.15890625000000114
twistedO2,C_L_beta,4,-0.1623637500000008,0.20000061079594386,-0.36516625000000147,0.042333749999997394
twistedO2,C_beta,4,0.5791837499999986,0.04897777914524258,0.5302337499999936,0.6321037499999989
twistedO2,C_b,12,0.0014470833333319888,0.0842474005863421,-0.1610062499999998,0.144783750000002
twistedO2,C_w,12,-0.0014470833333355415,0.08349683671236958,-0.1604362500000036,0.12774374999999338
twistedO2,N_L,2,-1.4980350000000016,0.0014599999999944657,-1.499494999999996,-1.496575000000007
twistedO2,N,2,1.4980349999999873,0.0033899999999960073,1.4946449999999913,1.5014249999999834
TWco,C_L_alpha,4,-0.9502337499999918,0.02572709175169293,-0.9814437499999968,-0.9161037499999907
TWco,C_alpha,4,-0.7366837499999903,0.3786208081313004,-1.1205937499999834,-0.3497037499999891
TWco,C_M,4,-0.12175124999999198,0.08099349923759203,-0.21693374999999548,-0.027333749999996826
TWco,C_L_beta,4,0.17305625000001257,0.02267482855502837,0.13486625000001595,0.19440625000001432
TWco,C_beta,4,0.5188362500000068,0.10443680361826768,0.4097662500000041,0.6256162500000073
TWco,C_b,12,0.10832958333334257,0.08795913362970938,-0.05897374999999272,0.2559262500000159
TWco,C_w,12,-0.10832958333332361,0.1841719497941321,-0.46796374999999557,0.07866625000001193
TWco,C_COOH,2,-3.7194887499999894,0.013875000000005855,-3.733363749999995,-3.7056137499999835
TWco,N_L,2,-1.6213050000000067,0.0060599999999908505,-1.6273649999999975,-1.6152450000000158
TWco,N,2,1.6213049999999924,0.05969000000000335,1.561614999999989,1.6809949999999958
TWDCOH,C_L_alpha,4,-0.9632279166666677,0.033965903031572396,-1.0045404166666714,-0.9215604166666651
TWDCOH,C_alpha,4,-0.7366904166666615,0.37035052538102486,-1.1251304166666642,-0.3586404166666597
TWDCOH,C_M,4,-0.13601541666666606,0.08605399017477215,-0.2359704166666603,-0.033940416666666806
TWDCOH,C_L_beta,4,0.16335708333333443,0.023932641282356917,0.13341958333333537,0.19157958333333625
TWDCOH,C_beta,4,0.529014583333332,0.0974247066970197,0.43099958333333177,0.6282795833333381
TWDCOH,C_b,12,0.10264875000000136,0.08347207331979661,-0.025140416666658894,0.2306595833333347
TWDCOH,C_w,12,-0.1026487499999978,0.18318420828196247,-0.46666041666667013,0.0916595833333389
TWDCOH,C_COOH,2,-3.7572204166666694,0.06398000000000081,-3.82120041666667,-3.6932404166666686
TWDCOH,N_L,2,-1.6289224999999874,0.002970000000004802,-1.6318924999999922,-1.6259524999999826
TWDCOH,N,2,1.6289225000000016,0.06250500000000159,1.5664175,1.6914275000000032
