group,element,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
C_L_alpha,C,4,-0.9384237500000019,0.033920156526023176,-0.9770862499999993,-0.893696250000005,4 5 42 43
C_alpha,C,4,-0.6695187500000017,0.14823126093625147,-0.8216662500000069,-0.5200962499999946,20 21 26 27
C_M,C,4,-0.2376812500000014,0.07216849918766605,-0.31494625000000553,-0.15890625000000114,6 13 28 35
C_L_beta,C,4,-0.1623637500000008,0.20000061079594386,-0.36516625000000147,0.042333749999997394,2 3 44 45
C_beta,C,4,0.5791837499999986,0.04897777914524258,0.5302337499999936,0.6321037499999989,22 23 24 25
C_b,C,12,0.0014470833333319888,0.0842474005863421,-0.1610062499999998,0.144783750000002,14 15 16 17 18 19 29 30 31 32 33 34
C_w,C,12,-0.0014470833333355415,0.08349683671236958,-0.1604362500000036,0.12774374999999338,7 8 9 10 11 12 36 37 38 39 40 41
N_L,N,2,-1.4980350000000016,0.0014599999999944657,-1.499494999999996,-1.496575000000007,46 49
N,N,2,1.4980349999999873,0.0033899999999960073,1.4946449999999913,1.5014249999999834,47 48
