atom_index,element,group,x_A,y_A,z_A,qe_type,is_contribution_eV,reference_definition,reference_eV,cls_eV
30,C,C_b,-3.43961,-3.51495,0.32593,2,-75.13563,mean(C_b+C_w),-75.02798374999999,0.10764625000001615
31,C,C_b,-4.34787,-5.65841,-0.41305,2,-75.11805,mean(C_b+C_w),-75.02798374999999,0.09006625000000668
32,C,C_b,-4.67066,-3.24119,0.95652,2,-75.27946,mean(C_b+C_w),-75.02798374999999,0.2514762500000103
33,C,C_b,-5.55424,-5.37597,0.22586,2,-75.07399,mean(C_b+C_w),-75.02798374999999,0.04600625000000491
34,C,C_b,-5.71681,-4.16854,0.90718,2,-75.15087,mean(C_b+C_w),-75.02798374999999,0.12288625000000764
35,C,C_M,-2.43336,2.34953,0.48376,2,-74.81105,mean(C_b+C_w),-75.02798374999999,-0.21693374999999548
36,C,C_w,-3.09318,4.67196,-0.32661,2,-75.09284,mean(C_b+C_w),-75.02798374999999,0.06485625000000539
37,C,C_w,-3.44701,3.45631,0.29205,2,-74.79288,mean(C_b+C_w),-75.02798374999999,-0.23510374999999328
38,C,C_w,-4.0389,5.68937,-0.49502,2,-75.00327,mean(C_b+C_w),-75.02798374999999,-0.02471374999998943
39,C,C_w,-4.77248,3.29821,0.74674,2,-75.04401,mean(C_b+C_w),-75.02798374999999,0.016026250000010123
40,C,C_w,-5.35893,5.51829,-0.04423,2,-74.56002,mean(C_b+C_w),-75.02798374999999,-0.46796374999999557
41,C,C_w,-5.71461,4.31407,0.57946,2,-74.92427,mean(C_b+C_w),-75.02798374999999,-0.10371374999998295
42,C,C_L_alpha,-2.62299,-1.0889,0.11227,2,-74.11188,mean(C_b+C_w),-75.02798374999999,-0.9161037499999907
43,C,C_L_alpha,-2.7479,1.07662,0.22122,2,-74.04654,mean(C_b+C_w),-75.02798374999999,-0.9814437499999968
44,C,C_L_beta,-3.91398,-0.69588,-0.46608,2,-75.22239,mean(C_b+C_w),-75.02798374999999,0.19440625000001432
45,C,C_L_beta,-3.99655,0.64151,-0.386,2,-75.20896,mean(C_b+C_w),-75.02798374999999,0.18097625000001472
46,N,N_L,1.9873,-0.06642,0.5265,3,-130.73381,mean(all N),-132.361175,-1.6273649999999975
47,N,N,0.02018,-2.04035,0.43975,3,-134.04217,mean(all N),-132.361175,1.6809949999999958
48,N,N,0.01871,1.85514,0.65191,3,-133.92279,mean(all N),-132.361175,1.561614999999989
49,N,N_L,-1.92874,-0.06131,0.52063,3,-130.74593,mean(all N),-132.361175,-1.6152450000000158
80,C,C_COOH,-6.36785,6.59283,-0.22006,2,-71.32237,mean(C_b+C_w),-75.02798374999999,-3.7056137499999835
84,C,C_COOH,6.4621,-6.61985,-0.18412,2,-71.29462,mean(C_b+C_w),-75.02798374999999,-3.733363749999995
